state_name,state_id,dec_2012,nov_2012,oct_2012,sept_2012,aug_2012,july_2012,june_2012,may_2012,apr_2012,mar_2012,feb_2012,jan_2012,dec_2011,nov_2011,oct_2011,sept_2011,aug_2011,july_2011,june_2011,may_2011,apr_2011,mar_2011,feb_2011,jan_2011
Alaska,AK,6.6,6.7,7.1,7.5,7.8,7.6,7.2,7.1,7.0,7.0,7.0,7.0,7.0,7.3,7.4,7.6,7.7,7.7,7.5,7.3,7.3,7.3,7.6,7.8
Alabama,AL,7.1,7.5,8.1,8.3,8.5,8.3,7.8,7.5,7.0,7.3,7.5,8.0,8.0,8.7,9.3,9.8,9.9,10.0,9.9,9.6,9.6,9.3,9.3,9.3
Arkansas,AR,7.1,7.0,7.2,7.1,7.3,7.3,7.2,7.3,7.0,7.4,7.6,8.0,8.0,8.0,8.2,8.3,8.3,8.2,8.1,7.8,7.8,7.7,7.8,7.8
Arizona,AZ,7.9,7.8,8.1,8.2,8.3,8.3,8.2,8.2,8.0,8.6,8.7,9.0,9.0,8.7,9.0,9.1,9.3,9.4,9.3,9.1,9.1,9.3,9.6,9.6
California,CA,9.8,9.8,10.1,10.2,10.6,10.7,10.7,10.4,11.0,11.0,10.9,11.0,11.0,11.3,11.7,11.9,12.1,12.0,11.8,11.7,11.7,11.8,12.1,12.4
Colorado,CO,7.6,7.7,7.9,8.0,8.2,8.3,8.2,8.2,8.0,7.8,7.8,8.0,8.0,8.0,8.1,8.3,8.5,8.5,8.5,8.7,8.7,8.8,9.3,9.1
Connecticut,CT,8.6,8.9,9.0,8.9,9.0,8.5,8.1,8.0,8.0,7.7,7.8,8.0,8.0,8.4,8.7,8.9,9.0,9.1,9.1,9.1,9.1,9.1,9.0,9.0
District of Columbia,DC,8.5,8.3,8.5,8.7,8.8,8.9,9.1,9.0,8.0,9.8,9.8,10.0,10.0,10.6,11.0,11.1,11.1,10.8,10.4,9.8,9.8,9.6,9.5,9.6
Delaware,DE,6.9,6.7,6.8,6.8,6.9,6.8,6.7,6.4,7.0,6.9,6.9,7.0,7.0,7.6,7.9,8.1,8.1,8.1,8.0,8.0,8.0,8.2,8.5,8.5
Florida,FL,8.0,8.1,8.5,8.7,8.8,8.8,8.6,8.5,8.0,9.0,9.4,10.0,10.0,10.0,10.3,10.6,10.7,10.7,10.7,10.6,10.6,10.8,11.5,11.9
